country,region,sub_region,locality_level_1,locality_level_2,locality_level_3,nombre_oficial,geoname_id,iso_3166_2,fcode,poblacion,lat,lon,fuente_oficial
united_kingdom,england,buckinghamshire,aylesbury_vale,poundon,,Poundon,7292878,ENG,ADM4,0,51.92417,-1.06765,http://www.geonames.org/7292878
united_kingdom,england,buckinghamshire,aylesbury_vale,poundon,poundon,Poundon,2639955,ENG,PPL,0,51.92355,-1.06115,http://www.geonames.org/2639955
united_kingdom,england,buckinghamshire,aylesbury_vale,wingrave_with_rowsham,,Wingrave with Rowsham,7298725,ENG,ADM4,0,51.8598,-0.7446,http://www.geonames.org/7298725
united_kingdom,england,buckinghamshire,aylesbury_vale,wingrave_with_rowsham,rowsham,Rowsham,12262753,ENG,PPL,0,51.85397,-0.76701,http://www.geonames.org/12262753
united_kingdom,england,buckinghamshire,aylesbury_vale,wingrave_with_rowsham,wingrave,Wingrave,2633820,ENG,PPL,1389,51.86494,-0.74244,http://www.geonames.org/2633820
united_kingdom,england,buckinghamshire,aylesbury_vale,steeple_claydon,,Steeple Claydon,7292882,ENG,ADM4,0,51.93072,-0.97607,http://www.geonames.org/7292882
united_kingdom,england,buckinghamshire,aylesbury_vale,steeple_claydon,steeple_claydon,Steeple Claydon,2636967,ENG,PPL,2114,51.93643,-0.98328,http://www.geonames.org/2636967
united_kingdom,england,buckinghamshire,aylesbury_vale,steeple_claydon,calvert,Calvert,12262414,ENG,PPL,0,51.91655,-1.0015,http://www.geonames.org/12262414
united_kingdom,england,buckinghamshire,aylesbury_vale,ludgershall,,Ludgershall,7298711,ENG,ADM4,0,51.85872,-1.03662,http://www.geonames.org/7298711
united_kingdom,england,buckinghamshire,aylesbury_vale,ludgershall,ludgershall,Ludgershall,2643428,ENG,PPL,409,51.85359,-1.04404,http://www.geonames.org/2643428
united_kingdom,england,buckinghamshire,aylesbury_vale,gawcott_with_lenborough,,Gawcott with Lenborough,7296361,ENG,ADM4,0,51.97748,-1.00149,http://www.geonames.org/7296361
united_kingdom,england,buckinghamshire,aylesbury_vale,gawcott_with_lenborough,lenborough,Lenborough,13274956,ENG,PPL,0,51.97864,-0.98339,http://www.geonames.org/13274956
united_kingdom,england,buckinghamshire,aylesbury_vale,gawcott_with_lenborough,gawcott,Gawcott,2648762,ENG,PPL,778,51.98136,-1.0101,http://www.geonames.org/2648762
united_kingdom,england,buckinghamshire,aylesbury_vale,winslow,,Winslow,7294203,ENG,ADM4,0,51.94223,-0.88408,http://www.geonames.org/7294203
united_kingdom,england,buckinghamshire,aylesbury_vale,winslow,shipton,Shipton,13274909,ENG,PPL,0,51.93939,-0.87144,http://www.geonames.org/13274909
united_kingdom,england,buckinghamshire,aylesbury_vale,winslow,winslow,Winslow,2633808,ENG,PPL,4407,51.94284,-0.88131,http://www.geonames.org/2633808
united_kingdom,england,buckinghamshire,aylesbury_vale,great_horwood,,Great Horwood,7292872,ENG,ADM4,0,51.97345,-0.87168,http://www.geonames.org/7292872
united_kingdom,england,buckinghamshire,aylesbury_vale,great_horwood,singleborough,Singleborough,13274910,ENG,PPL,0,51.98091,-0.88494,http://www.geonames.org/13274910
united_kingdom,england,buckinghamshire,aylesbury_vale,great_horwood,great_horwood,Great Horwood,2648076,ENG,PPL,1049,51.97351,-0.88088,http://www.geonames.org/2648076
united_kingdom,england,buckinghamshire,aylesbury_vale,granborough,,Granborough,7292871,ENG,ADM4,0,51.92077,-0.88384,http://www.geonames.org/7292871
united_kingdom,england,buckinghamshire,aylesbury_vale,granborough,granborough,Granborough,2648224,ENG,PPL,0,51.91667,-0.88333,http://www.geonames.org/2648224
united_kingdom,england,buckinghamshire,aylesbury_vale,oakley,,Oakley,7296407,ENG,ADM4,0,51.79776,-1.07459,http://www.geonames.org/7296407
united_kingdom,england,buckinghamshire,aylesbury_vale,oakley,oakley,Oakley,2641122,ENG,PPL,1007,51.80406,-1.07261,http://www.geonames.org/2641122
united_kingdom,england,buckinghamshire,aylesbury_vale,coldharbour,,Coldharbour,7299792,ENG,ADM4,0,51.81536,-0.84129,http://www.geonames.org/7299792
united_kingdom,england,buckinghamshire,aylesbury_vale,cublington,,Cublington,7296358,ENG,ADM4,0,51.89367,-0.78011,http://www.geonames.org/7296358
united_kingdom,england,buckinghamshire,aylesbury_vale,cublington,cublington,Cublington,2651789,ENG,PPL,328,51.89238,-0.77951,http://www.geonames.org/2651789
united_kingdom,england,buckinghamshire,aylesbury_vale,edlesborough,,Edlesborough,7298703,ENG,ADM4,0,51.85221,-0.5879,http://www.geonames.org/7298703
united_kingdom,england,buckinghamshire,aylesbury_vale,edlesborough,northall,Northall,12262751,ENG,PPL,0,51.87086,-0.60827,http://www.geonames.org/12262751
